Client ID,19440,,Inventory,,,,117961,117962
,,,,DQ,DK,,RateA,RateA
year,month,day,ALL,117961,117962
2018,1,1,20,10,10,,179.00,179.00
2018,1,2,20,10,10,,159.00,159.00
2018,1,3,20,10,10,,179.00,179.00
2018,1,4,20,10,10,,159.00,159.00
2018,1,5,20,10,10,,159.00,159.00
2018,1,6,20,10,10,,159.00,159.00
2018,1,7,20,10,10,,159.00,159.00
2018,1,8,20,10,10,,179.00,179.00
2018,1,9,20,10,10,,159.00,159.00
2018,1,10,20,10,10,,179.00,179.00
2018,1,11,20,10,10,,159.00,159.00
2018,1,12,20,10,10,,159.00,159.00
2018,1,13,20,10,10,,159.00,159.00
2018,1,14,20,10,10,,159.00,159.00
2018,1,15,20,10,10,,179.00,179.00
2018,1,16,20,10,10,,159.00,159.00
2018,1,17,20,10,10,,179.00,179.00
2018,1,18,20,10,10,,159.00,159.00
2018,1,19,20,10,10,,159.00,159.00
2018,1,20,20,10,10,,159.00,159.00
2018,1,21,20,10,10,,159.00,159.00
2018,1,22,20,10,10,,179.00,179.00
2018,1,23,20,10,10,,159.00,159.00
2018,1,24,20,10,10,,179.00,179.00
2018,1,25,20,10,10,,159.00,159.00
2018,1,26,20,10,10,,159.00,159.00
2018,1,27,20,10,10,,159.00,159.00
2018,1,28,20,10,10,,159.00,159.00
2018,1,29,20,10,10,,179.00,179.00
2018,1,30,20,10,10,,159.00,159.00
2018,1,31,20,10,10,,179.00,179.00
2018,2,1,20,10,10,,159.00,159.00
2018,2,2,20,10,10,,159.00,159.00
2018,2,3,20,10,10,,159.00,159.00
2018,2,4,20,10,10,,159.00,159.00
2018,2,5,20,10,10,,179.00,179.00
2018,2,6,20,10,10,,159.00,159.00
2018,2,7,20,10,10,,179.00,179.00
2018,2,8,20,10,10,,159.00,159.00
2018,2,9,20,10,10,,159.00,159.00
2018,2,10,20,10,10,,159.00,159.00
2018,2,11,20,10,10,,159.00,159.00
2018,2,12,20,10,10,,179.00,179.00
2018,2,13,20,10,10,,159.00,159.00
2018,2,14,20,10,10,,179.00,179.00
2018,2,15,20,10,10,,159.00,159.00
2018,2,16,20,10,10,,159.00,159.00
2018,2,17,20,10,10,,159.00,159.00
2018,2,18,20,10,10,,159.00,159.00
2018,2,19,20,10,10,,179.00,179.00
2018,2,20,20,10,10,,159.00,159.00
2018,2,21,20,10,10,,179.00,179.00
2018,2,22,20,10,10,,159.00,159.00
2018,2,23,20,10,10,,159.00,159.00
2018,2,24,20,10,10,,159.00,159.00
2018,2,25,20,10,10,,159.00,159.00
2018,2,26,20,10,10,,179.00,179.00
2018,2,27,20,10,10,,159.00,159.00
2018,2,28,20,10,10,,179.00,179.00
2018,3,1,20,10,10,,159.00,159.00
2018,3,2,20,10,10,,159.00,159.00
2018,3,3,20,10,10,,159.00,159.00
2018,3,4,20,10,10,,159.00,159.00
2018,3,5,20,10,10,,179.00,179.00
2018,3,6,20,10,10,,159.00,159.00
2018,3,7,20,10,10,,179.00,179.00
2018,3,8,20,10,10,,159.00,159.00
2018,3,9,20,10,10,,159.00,159.00
2018,3,10,20,10,10,,159.00,159.00
2018,3,11,20,10,10,,159.00,159.00
2018,3,12,20,10,10,,179.00,179.00
2018,3,13,20,10,10,,159.00,159.00
2018,3,14,20,10,10,,179.00,179.00
2018,3,15,20,10,10,,159.00,159.00
2018,3,16,20,10,10,,159.00,159.00
2018,3,17,20,10,10,,159.00,159.00
2018,3,18,20,10,10,,159.00,159.00
2018,3,19,20,10,10,,179.00,179.00
2018,3,20,20,10,10,,159.00,159.00
2018,3,21,20,10,10,,179.00,179.00
2018,3,22,20,10,10,,159.00,159.00
2018,3,23,20,10,10,,159.00,159.00
2018,3,24,20,10,10,,159.00,159.00
2018,3,25,20,10,10,,159.00,159.00
2018,3,26,20,10,10,,179.00,179.00
2018,3,27,20,10,10,,159.00,159.00
2018,3,28,20,10,10,,179.00,179.00
2018,3,29,20,10,10,,159.00,159.00
2018,3,30,20,10,10,,159.00,159.00
2018,3,31,20,10,10,,159.00,159.00
2018,4,1,20,10,10,,159.00,159.00
2018,4,2,20,10,10,,179.00,179.00
2018,4,3,20,10,10,,159.00,159.00
2018,4,4,20,10,10,,179.00,179.00
2018,4,5,20,10,10,,159.00,159.00
2018,4,6,20,10,10,,159.00,159.00
2018,4,7,20,10,10,,159.00,159.00
2018,4,8,20,10,10,,159.00,159.00
2018,4,9,20,10,10,,179.00,179.00
2018,4,10,20,10,10,,159.00,159.00
2018,4,11,20,10,10,,179.00,179.00
2018,4,12,20,10,10,,159.00,159.00
2018,4,13,20,10,10,,159.00,159.00
2018,4,14,20,10,10,,159.00,159.00
2018,4,15,20,10,10,,159.00,159.00
2018,4,16,20,10,10,,179.00,179.00
2018,4,17,20,10,10,,159.00,159.00
2018,4,18,20,10,10,,179.00,179.00
2018,4,19,20,10,10,,159.00,159.00
2018,4,20,20,10,10,,159.00,159.00
2018,4,21,20,10,10,,159.00,159.00
2018,4,22,20,10,10,,159.00,159.00
2018,4,23,20,10,10,,179.00,179.00
2018,4,24,20,10,10,,159.00,159.00
2018,4,25,20,10,10,,179.00,179.00
2018,4,26,20,10,10,,159.00,159.00
2018,4,27,20,10,10,,159.00,159.00
2018,4,28,20,10,10,,159.00,159.00
2018,4,29,20,10,10,,159.00,159.00
2018,4,30,20,10,10,,179.00,179.00
2018,5,1,20,10,10,,159.00,159.00
2018,5,2,20,10,10,,179.00,179.00
2018,5,3,20,10,10,,159.00,159.00
2018,5,4,20,10,10,,159.00,159.00
2018,5,5,20,10,10,,159.00,159.00
2018,5,6,20,10,10,,159.00,159.00
2018,5,7,20,10,10,,179.00,179.00
2018,5,8,20,10,10,,159.00,159.00
2018,5,9,20,10,10,,179.00,179.00
2018,5,10,20,10,10,,159.00,159.00
2018,5,11,20,10,10,,159.00,159.00
2018,5,12,20,10,10,,159.00,159.00
2018,5,13,20,10,10,,159.00,159.00
2018,5,14,20,10,10,,179.00,179.00
2018,5,15,20,10,10,,159.00,159.00
2018,5,16,20,10,10,,179.00,179.00
2018,5,17,20,10,10,,159.00,159.00
2018,5,18,20,10,10,,159.00,159.00
2018,5,19,20,10,10,,159.00,159.00
2018,5,20,20,10,10,,159.00,159.00
2018,5,21,20,10,10,,179.00,179.00
2018,5,22,20,10,10,,159.00,159.00
2018,5,23,20,10,10,,179.00,179.00
2018,5,24,20,10,10,,159.00,159.00
2018,5,25,20,10,10,,159.00,159.00
2018,5,26,20,10,10,,159.00,159.00
2018,5,27,20,10,10,,159.00,159.00
2018,5,28,20,10,10,,179.00,179.00
2018,5,29,20,10,10,,159.00,159.00
2018,5,30,20,10,10,,179.00,179.00
2018,5,31,20,10,10,,159.00,159.00
2018,6,1,20,10,10,,159.00,159.00
2018,6,2,20,10,10,,159.00,159.00
2018,6,3,20,10,10,,159.00,159.00
2018,6,4,20,10,10,,179.00,179.00
2018,6,5,20,10,10,,159.00,159.00
2018,6,6,20,10,10,,179.00,179.00
2018,6,7,20,10,10,,159.00,159.00
2018,6,8,20,10,10,,159.00,159.00
2018,6,9,20,10,10,,159.00,159.00
2018,6,10,20,10,10,,159.00,159.00
2018,6,11,20,10,10,,179.00,179.00
2018,6,12,20,10,10,,159.00,159.00
2018,6,13,20,10,10,,179.00,179.00
2018,6,14,20,10,10,,159.00,159.00
2018,6,15,20,10,10,,159.00,159.00
2018,6,16,20,10,10,,159.00,159.00
2018,6,17,20,10,10,,159.00,159.00
2018,6,18,20,10,10,,179.00,179.00
2018,6,19,20,10,10,,159.00,159.00
2018,6,20,20,10,10,,179.00,179.00
2018,6,21,20,10,10,,159.00,159.00
2018,6,22,20,10,10,,159.00,159.00
2018,6,23,20,10,10,,159.00,159.00
2018,6,24,20,10,10,,159.00,159.00
2018,6,25,20,10,10,,179.00,179.00
2018,6,26,20,10,10,,159.00,159.00
2018,6,27,20,10,10,,179.00,179.00
2018,6,28,20,10,10,,159.00,159.00
2018,6,29,20,10,10,,159.00,159.00
2018,6,30,20,10,10,,159.00,159.00
2018,7,1,20,10,10,,159.00,159.00
2018,7,2,20,10,10,,179.00,179.00
2018,7,3,20,10,10,,159.00,159.00
2018,7,4,20,10,10,,179.00,179.00
2018,7,5,20,10,10,,159.00,159.00
2018,7,6,20,10,10,,159.00,159.00
2018,7,7,20,10,10,,159.00,159.00
2018,7,8,20,10,10,,159.00,159.00
2018,7,9,20,10,10,,179.00,179.00
2018,7,10,20,10,10,,159.00,159.00
2018,7,11,20,10,10,,179.00,179.00
2018,7,12,20,10,10,,159.00,159.00
2018,7,13,20,10,10,,159.00,159.00
2018,7,14,20,10,10,,159.00,159.00
2018,7,15,0,0,0,,0,0
2018,7,16,0,0,0,,0,0
2018,7,17,20,10,10,,159.00,159.00
2018,7,18,20,10,10,,159.00,159.00
2018,7,19,20,10,10,,159.00,159.00
2018,7,20,20,10,10,,159.00,159.00
2018,7,21,20,10,10,,179.00,179.00
2018,7,22,20,10,10,,159.00,159.00
2018,7,23,20,10,10,,179.00,179.00
2018,7,24,20,10,10,,159.00,159.00
2018,7,25,20,10,10,,159.00,159.00
2018,7,26,20,10,10,,159.00,159.00
2018,7,27,20,10,10,,159.00,159.00
2018,7,28,20,10,10,,179.00,179.00
2018,7,29,20,10,10,,159.00,159.00
2018,7,30,20,10,10,,179.00,179.00
2018,7,31,20,10,10,,159.00,159.00
2018,8,1,20,10,10,,159.00,159.00
2018,8,2,20,10,10,,159.00,159.00
2018,8,3,20,10,10,,159.00,159.00
2018,8,4,20,10,10,,179.00,179.00
2018,8,5,20,10,10,,159.00,159.00
2018,8,6,20,10,10,,179.00,179.00
2018,8,7,20,10,10,,159.00,159.00
2018,8,8,20,10,10,,159.00,159.00
2018,8,9,20,10,10,,159.00,159.00
2018,8,10,20,10,10,,159.00,159.00
2018,8,11,20,10,10,,179.00,179.00
2018,8,12,20,10,10,,159.00,159.00
2018,8,13,20,10,10,,179.00,179.00
2018,8,14,20,10,10,,159.00,159.00
2018,8,15,20,10,10,,159.00,159.00
2018,8,16,20,10,10,,159.00,159.00
2018,8,17,20,10,10,,159.00,159.00
2018,8,18,20,10,10,,179.00,179.00
2018,8,19,20,10,10,,159.00,159.00
2018,8,20,20,10,10,,179.00,179.00
2018,8,21,20,10,10,,159.00,159.00
2018,8,22,20,10,10,,159.00,159.00
2018,8,23,20,10,10,,159.00,159.00
2018,8,24,20,10,10,,159.00,159.00
2018,8,25,20,10,10,,179.00,179.00
2018,8,26,20,10,10,,159.00,159.00
2018,8,27,20,10,10,,179.00,179.00
2018,8,28,20,10,10,,159.00,159.00
2018,8,29,20,10,10,,159.00,159.00
2018,8,30,20,10,10,,159.00,159.00
2018,8,31,20,10,10,,159.00,159.00
2018,9,1,20,10,10,,179.00,179.00
2018,9,2,20,10,10,,159.00,159.00
2018,9,3,20,10,10,,179.00,179.00
2018,9,4,20,10,10,,159.00,159.00
2018,9,5,20,10,10,,159.00,159.00
2018,9,6,20,10,10,,159.00,159.00
2018,9,7,20,10,10,,159.00,159.00
2018,9,8,20,10,10,,179.00,179.00
2018,9,9,20,10,10,,159.00,159.00
2018,9,10,20,10,10,,179.00,179.00
2018,9,11,20,10,10,,159.00,159.00
2018,9,12,20,10,10,,159.00,159.00
2018,9,13,20,10,10,,159.00,159.00
2018,9,14,20,10,10,,159.00,159.00
2018,9,15,20,10,10,,179.00,179.00
2018,9,16,20,10,10,,159.00,159.00
2018,9,17,20,10,10,,179.00,179.00
2018,9,18,20,10,10,,159.00,159.00
2018,9,19,20,10,10,,159.00,159.00
2018,9,20,20,10,10,,159.00,159.00
2018,9,21,20,10,10,,159.00,159.00
2018,9,22,20,10,10,,179.00,179.00
2018,9,23,20,10,10,,159.00,159.00
2018,9,24,20,10,10,,179.00,179.00
2018,9,25,20,10,10,,159.00,159.00
2018,9,26,20,10,10,,159.00,159.00
2018,9,27,20,10,10,,159.00,159.00
2018,9,28,20,10,10,,159.00,159.00
2018,9,29,20,10,10,,179.00,179.00
2018,9,30,20,10,10,,159.00,159.00
2018,10,1,20,10,10,,179.00,179.00
2018,10,2,20,10,10,,159.00,159.00
2018,10,3,20,10,10,,159.00,159.00
2018,10,4,20,10,10,,159.00,159.00
2018,10,5,20,10,10,,159.00,159.00
2018,10,6,20,10,10,,179.00,179.00
2018,10,7,20,10,10,,159.00,159.00
2018,10,8,20,10,10,,179.00,179.00
2018,10,9,20,10,10,,159.00,159.00
2018,10,10,20,10,10,,159.00,159.00
2018,10,11,20,10,10,,159.00,159.00
2018,10,12,20,10,10,,159.00,159.00
2018,10,13,20,10,10,,179.00,179.00
2018,10,14,20,10,10,,159.00,159.00
2018,10,15,20,10,10,,179.00,179.00
2018,10,16,20,10,10,,159.00,159.00
2018,10,17,20,10,10,,159.00,159.00
2018,10,18,20,10,10,,159.00,159.00
2018,10,19,20,10,10,,159.00,159.00
2018,10,20,20,10,10,,179.00,179.00
2018,10,21,20,10,10,,159.00,159.00
2018,10,22,20,10,10,,179.00,179.00
2018,10,23,20,10,10,,159.00,159.00
2018,10,24,20,10,10,,159.00,159.00
2018,10,25,20,10,10,,159.00,159.00
2018,10,26,20,10,10,,159.00,159.00
2018,10,27,20,10,10,,179.00,179.00
2018,10,28,20,10,10,,159.00,159.00
2018,10,29,20,10,10,,179.00,179.00
2018,10,30,20,10,10,,159.00,159.00
2018,10,31,20,10,10,,159.00,159.00
2018,11,1,20,10,10,,159.00,159.00
2018,11,2,20,10,10,,159.00,159.00
2018,11,3,20,10,10,,179.00,179.00
2018,11,4,20,10,10,,159.00,159.00
2018,11,5,20,10,10,,179.00,179.00
2018,11,6,20,10,10,,159.00,159.00
2018,11,7,20,10,10,,159.00,159.00
2018,11,8,20,10,10,,159.00,159.00
2018,11,9,20,10,10,,159.00,159.00
2018,11,10,20,10,10,,179.00,179.00
2018,11,11,20,10,10,,159.00,159.00
2018,11,12,20,10,10,,179.00,179.00
2018,11,13,20,10,10,,159.00,159.00
2018,11,14,20,10,10,,159.00,159.00
2018,11,15,20,10,10,,159.00,159.00
2018,11,16,20,10,10,,159.00,159.00
2018,11,17,20,10,10,,179.00,179.00
2018,11,18,20,10,10,,159.00,159.00
2018,11,19,20,10,10,,179.00,179.00
2018,11,20,20,10,10,,159.00,159.00
2018,11,21,20,10,10,,159.00,159.00
2018,11,22,20,10,10,,159.00,159.00
2018,11,23,20,10,10,,159.00,159.00
2018,11,24,20,10,10,,179.00,179.00
2018,11,25,20,10,10,,159.00,159.00
2018,11,26,20,10,10,,179.00,179.00
2018,11,27,20,10,10,,159.00,159.00
2018,11,28,20,10,10,,159.00,159.00
2018,11,29,20,10,10,,159.00,159.00
2018,11,30,20,10,10,,159.00,159.00
2018,12,1,20,10,10,,179.00,179.00
2018,12,2,20,10,10,,159.00,159.00
2018,12,3,20,10,10,,179.00,179.00
2018,12,4,20,10,10,,159.00,159.00
2018,12,5,20,10,10,,159.00,159.00
2018,12,6,20,10,10,,159.00,159.00
2018,12,7,20,10,10,,159.00,159.00
2018,12,8,20,10,10,,179.00,179.00
2018,12,9,20,10,10,,159.00,159.00
2018,12,10,20,10,10,,179.00,179.00
2018,12,11,20,10,10,,159.00,159.00
2018,12,12,20,10,10,,159.00,159.00
2018,12,13,20,10,10,,159.00,159.00
2018,12,14,20,10,10,,159.00,159.00
2018,12,15,20,10,10,,179.00,179.00
2018,12,16,20,10,10,,159.00,159.00
2018,12,17,20,10,10,,179.00,179.00
2018,12,18,20,10,10,,159.00,159.00
2018,12,19,20,10,10,,159.00,159.00
2018,12,20,20,10,10,,159.00,159.00
2018,12,21,20,10,10,,159.00,159.00
2018,12,22,20,10,10,,179.00,179.00
2018,12,23,20,10,10,,159.00,159.00
2018,12,24,20,10,10,,179.00,179.00
2018,12,25,20,10,10,,159.00,159.00
2018,12,26,0,0,0,,0,0
2018,12,27,20,10,10,,199.00,199.00
2018,12,28,20,10,10,,199.00,199.00
2018,12,29,20,10,10,,199.00,199.00
2018,12,30,20,10,10,,199.00,199.00
2018,12,31,20,10,10,,139.00,139.00
2019,1,1,20,10,10,,199.00,199.00
2019,1,2,20,10,10,,139.00,139.00
2019,1,3,0,0,0,,0,0
2019,1,4,20,10,10,,159.00,159.00
2019,1,5,20,10,10,,159.00,159.00
2019,1,6,20,10,10,,159.00,159.00
2019,1,7,20,10,10,,159.00,159.00
2019,1,8,20,10,10,,179.00,179.00
2019,1,9,20,10,10,,159.00,159.00
2019,1,10,20,10,10,,179.00,179.00
2019,1,11,20,10,10,,159.00,159.00
2019,1,12,20,10,10,,159.00,159.00
2019,1,13,20,10,10,,159.00,159.00
2019,1,14,20,10,10,,159.00,159.00
2019,1,15,20,10,10,,179.00,179.00
2019,1,16,20,10,10,,159.00,159.00
2019,1,17,20,10,10,,179.00,179.00
2019,1,18,20,10,10,,159.00,159.00
2019,1,19,20,10,10,,159.00,159.00
2019,1,20,20,10,10,,159.00,159.00
2019,1,21,20,10,10,,159.00,159.00
2019,1,22,20,10,10,,179.00,179.00
2019,1,23,20,10,10,,159.00,159.00
2019,1,24,20,10,10,,179.00,179.00
2019,1,25,20,10,10,,159.00,159.00
2019,1,26,20,10,10,,159.00,159.00
2019,1,27,20,10,10,,159.00,159.00
2019,1,28,20,10,10,,159.00,159.00
2019,1,29,20,10,10,,179.00,179.00
2019,1,30,20,10,10,,159.00,159.00
